#,Source,Pair,Volume (24h),Price,Volume (%),%,Updated
1,Bitfinex,BTC/USD,"$506,784,000",$10789.00,6.13,%,Recently
2,OKEx,BTC/USDT,"$484,695,000", $10760.00,5.86,%,Recently
3,Binance,BTC/USDT,"$424,326,000",$10768.90,5.13,%,Recently
4,Upbit,BTC/KRW,"$355,827,000",$11190.70,4.30,%,Recently
5,bitFlyer,BTC/JPY,"$266,113,000",$10853.30,3.22,%,Recently
6,Bithumb,BTC/KRW,"$232,530,000",$11221.60,2.81,%,Recently
7,GDAX,BTC/USD,"$197,537,000",$10791.50,2.39,%,Recently
8,OKEx,ETH/BTC,"$185,215,000",$10783.40,2.24,%,Recently
9,OKEx,LTC/BTC,"$149,059,000",$10787.90,1.80,%,Recently
10,Bitstamp,BTC/USD,"$137,053,000",$10780.20,1.66,%,Recently
11,Binance,ETH/BTC,"$126,196,000",$10792.70,1.53,%,Recently
12,Huobi,BTC/USDT,"$126,165,000",$10777.40,1.53,%,Recently
13,OKEx,ETC/BTC,"$120,926,000",$10794.00,1.46,%,Recently
14,BTCC,BTC/USD,"$116,811,000",$10807.90,1.41,%,Recently
15,Binance,XVG/BTC,"$115,615,000",$10707.70,1.40,%,Recently
16,Kraken,BTC/EUR,"$115,322,000",$10831.70,1.39,%,Recently
17,HitBTC,BCH/BTC,"$108,261,000",$10786.70,1.31,%,Recently
18,Binance,TRX/BTC,"$104,861,000",$10709.80,1.27,%,Recently
19,OKEx,BCH/BTC,"$87,767,800",$10789.50,1.06,%,Recently
20,Binance,GTO/BTC,"$81,123,000",$10620.30,0.98,%,Recently
21,Kraken,BTC/USD,"$75,802,000",$10818.00,0.92,%,Recently
22,Upbit,XVG/BTC,"$75,111,300",$10733.70,0.91,%,Recently
23,Binance,ICX/BTC,"$69,485,600",$10750.00,0.84,%,Recently
24,Bittrex,XVG/BTC,"$69,376,700",$10746.80,0.84,%,Recently
25,Bit-Z,ETH/BTC,"$68,714,200",$10793.50,0.83,%,Recently
26,HitBTC,BTC/USDT,"$61,379,000",$10817.40,0.74,%,Recently
27,Binance,XRP/BTC,"$54,760,700",$10787.00,0.66,%,Recently
28,Huobi,HT/BTC,"$51,047,500",$10758.00,0.62,%,Recently
29,Gemini,BTC/USD,"$49,843,500",$10789.00,0.60,%,Recently
30,Bit-Z,LTC/BTC,"$48,823,100", $10804.60,0.59,%,Recently
31,Coinbene,BTC/USDT,"$47,987,200",$10712.00,0.58,%,Recently
32,HitBTC,ETH/BTC,"$45,242,600",$10790.70,0.55,%,Recently
33,Coinone,BTC/KRW,"$44,882,100",$11221.60,0.54,%,Recently
34,Binance,LTC/BTC,"$44,793,000",$10804.60,0.54,%,Recently
35,Binance,ADA/BTC,"$38,833,100",$11013.50,0.47,%,Recently
36,Huobi,WICC/BTC,"$38,198,000",$10718.30,0.46,%,Recently
37,Bittrex,BTC/USDT,"$37,826,100",$10792.00,0.46,%,Recently
38,Huobi,ELA/BTC,"$37,466,200",$10698.40,0.45,%,Recently
39,Binance,NEO/BTC,"$35,648,100",$10738.60,0.43,%,Recently
40,Poloniex,BTC/USDT,"$35,518,000",$10767.70,0.43,%,Recently
41,GDAX,BTC/EUR,"$35,064,200",$10859.50,0.42,%,Recently
42,Binance,BNB/BTC,"$33,973,500",$10745.60,0.41,%,Recently
43,Korbit,BTC/KRW,"$33,670,900",$11224.90,0.41,%,Recently
44,Binance,APPC/BTC,"$33,041,700",$10747.70,0.40,%,Recently
45,EXX,ETH/BTC,"$32,111,800",$10735.50,0.39,%,Recently
46,HitBTC,XRP/BTC,"$30,652,200",$10765.00,0.37,%,Recently
47,CoinEgg,ETH/BTC,"$30,172,300",$10746.10,0.36,%,Recently
48,Bit-Z,EKT/BTC,"$30,039,400",$10738.60,0.36,%,Recently
49,Binance,ETC/BTC,"$30,002,100",$10784.40,0.36,%,Recently
50,Binance,VEN/BTC,"$29,992,800",$10778.30,0.36,%,Recently
51,Bitstamp,BTC/EUR,"$29,570,400",$10828.30,0.36,%,Recently
